###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
450.0	 0.85 	 0.0
450.0	 0.9 	 0.0
450.0	 0.91 	 0.0
450.0	 0.92 	 0.0
450.0	 0.93 	 0.0
450.0	 0.94 	 0.0
450.0	 0.95 	 0.0
450.0	 0.96 	 0.0
450.0	 0.97 	 0.0
450.0	 0.98 	 0.0
450.0	 0.99 	 0.0
450.0	 1.0 	 0.0
500.0	 -1.0 	 0.0
500.0	 -0.99 	 6.543440154774517e7
500.0	 -0.98 	 1.1120133219728161e8
500.0	 -0.97 	 1.6234326627558592e8
500.0	 -0.96 	 5.805070609685512e8
500.0	 -0.95 	 1.06831977517236e9
500.0	 -0.94 	 1.08453786747879e9
500.0	 -0.93 	 1.1089081670980482e9
500.0	 -0.92 	 1.1264750903288352e9
500.0	 -0.91 	 1.1454191735292337e9
500.0	 -0.9 	 1.1631995187131991e9
500.0	 -0.85 	 1.2317760532342043e9
500.0	 -0.8 	 1.283981706439859e9
500.0	 -0.75 	 1.327137824479136e9
500.0	 -0.7 	 1.3694223693342457e9
500.0	 -0.65 	 1.4076062229709516e9
500.0	 -0.6 	 1.4373206963689783e9
500.0	 -0.55 	 1.4672514835734785e9
500.0	 -0.5 	 1.4966475812242608e9
500.0	 -0.45 	 1.5288834958225946e9
500.0	 -0.4 	 1.3035208000168858e9
500.0	 -0.35 	 1.0217644792403624e9
500.0	 -0.3 	 8.180564252215183e8
500.0	 -0.25 	 6.157600016272044e8
500.0	 -0.2 	 4.7235775186692005e8
500.0	 -0.15 	 3.7242721412291276e8
500.0	 -0.1 	 2.6980430097484577e8
500.0	 -0.05 	 2.001202250859311e8
500.0	 0.0 	 1.5350513852487883e8
500.0	 0.05 	 1.1362528654812743e8
500.0	 0.1 	 7.995603143417057e7
500.0	 0.15 	 5.187967652040769e7
500.0	 0.2 	 3.4486589490062006e7
500.0	 0.25 	 2.4473770663853876e7
500.0	 0.3 	 1.1120049388944693e7
500.0	 0.35 	 3.4900661123846024e6
500.0	 0.4 	 0.0
500.0	 0.45 	 0.0
500.0	 0.5 	 0.0
500.0	 0.55 	 0.0
500.0	 0.6 	 0.0
500.0	 0.65 	 0.0
500.0	 0.7 	 0.0
500.0	 0.75 	 0.0
500.0	 0.8 	 0.0
500.0	 0.85 	 0.0
500.0	 0.9 	 0.0
500.0	 0.91 	 0.0
500.0	 0.92 	 0.0
500.0	 0.93 	 0.0
500.0	 0.94 	 0.0
500.0	 0.95 	 0.0
500.0	 0.96 	 0.0
500.0	 0.97 	 0.0
500.0	 0.98 	 0.0
500.0	 0.99 	 0.0
500.0	 1.0 	 0.0
