# The input matter Power Spectrum as InputPS returns it,
# together with its two asymptotic power laws.
# Input file: WideA_ZA_pk.dat, tabulated on [2.056154633223e-7, 20.22821679002]
# q 	 P(q) 	 left_powerlaw 	 right_powerlaw
2.1387749188549e-8 	 0.13057484754181936 	 0.13057484754181936 	 1.655642243293531e22
2.168543228962803e-8 	 0.1323190602075086 	 0.1323190602075086 	 1.5962898944451756e22
2.1987258661131963e-8 	 0.13408657198386448 	 0.13408657198386448 	 1.5390652403497688e22
2.229328597072735e-8 	 0.13587769409931025 	 0.13587769409931025 	 1.4838920062675657e22
2.2603572688722007e-8 	 0.13769274193964384 	 0.13769274193964384 	 1.4306966517964947e22
2.2918178099236482e-8 	 0.13953203510357184 	 0.13953203510357184 	 1.3794082728501592e22
2.3237162311531012e-8 	 0.1413958974589853 	 0.1413958974589853 	 1.3299585071497832e22
2.3560586271490152e-8 	 0.1432846571999873 	 0.1432846571999873 	 1.2822814431041311e22
2.388851177326723e-8 	 0.1451986469046823 	 0.1451986469046823 	 1.2363135319559522e22
2.4221001471090906e-8 	 0.14713820359373744 	 0.14713820359373744 	 1.1919935030778392e22
2.4558118891236005e-8 	 0.149103668789726 	 0.149103668789726 	 1.1492622823046169e22
2.489992844416104e-8 	 0.15109538857726384 	 0.15109538857726384 	 1.1080629131933833e22
2.5246495436814592e-8 	 0.1531137136639487 	 0.1531137136639487 	 1.0683404811062726e22
2.559788608511303e-8 	 0.15515899944211395 	 0.15515899944211395 	 1.0300420400147344e22
2.5954167526591876e-8 	 0.157231606051407 	 0.157231606051407 	 9.931165419277738e21
2.6315407833233267e-8 	 0.15933189844220375 	 0.15933189844220375 	 9.575147688500862e21
2.6681676024471943e-8 	 0.16146024643986998 	 0.16146024643986998 	 9.231892671793928e21
2.7053042080382276e-8 	 0.16361702480988138 	 0.16361702480988138 	 8.900942844555347e21
2.742957695504882e-8 	 0.16580261332381313 	 0.16580261332381313 	 8.581857083770211e21
2.781135259012291e-8 	 0.16801739682621092 	 0.16801739682621092 	 8.274210080037484e21
2.8198441928568243e-8 	 0.17026176530235682 	 0.17026176530235682 	 7.977591770674924e21
2.859091892859719e-8 	 0.17253611394693685 	 0.17253611394693685 	 7.691606793146826e21
2.8988858577801642e-8 	 0.17484084323362947 	 0.17484084323362947 	 7.415873958085129e21
2.9392336907480286e-8 	 0.1771763589856216 	 0.1771763589856216 	 7.15002574120216e21
2.98014310071653e-8 	 0.17954307244706716 	 0.17954307244706716 	 6.893707793417523e21
3.0216219039351296e-8 	 0.18194140035550024 	 0.18194140035550024 	 6.646578468546216e21
3.063678025442919e-8 	 0.18437176501521518 	 0.18437176501521518 	 6.408308367918453e21
3.106319500582801e-8 	 0.18683459437162725 	 0.18683459437162725 	 6.178579901324175e21
3.149554476536738e-8 	 0.1893303220866264 	 0.1893303220866264 	 5.957086863697076e21
3.1933912138823755e-8 	 0.1918593876149377 	 0.1918593876149377 	 5.743534026973871e21
3.2378380881713265e-8 	 0.1944222362815018 	 0.1944222362815018 	 5.537636746584826e21
3.282903591529421e-8 	 0.19701931935988884 	 0.19701931935988884 	 5.339120582051023e21
3.328596334279238e-8 	 0.19965109415176008 	 0.19965109415176008 	 5.14772093118264e21
3.374925046585209e-8 	 0.202318024067391 	 0.202318024067391 	 4.963182677390713e21
3.4218985801216256e-8 	 0.20502057870726945 	 0.20502057870726945 	 4.785259849642242e21
3.469525909763864e-8 	 0.20775923394478468 	 0.20775923394478468 	 4.613715294605395e21
3.517816135303143e-8 	 0.2105344720100203 	 0.2105344720100203 	 4.448320360547854e21
3.566778483185152e-8 	 0.2133467815746665 	 0.2133467815746665 	 4.28885459256692e21
3.61642230827288e-8 	 0.21619665783806702 	 0.21619665783806702 	 4.135105438745182e21
3.666757095633976e-8 	 0.21908460261441512 	 0.21908460261441512 	 3.9868679668400726e21
3.7177924623529883e-8 	 0.22201112442111431 	 0.22201112442111431 	 3.843944591129689e21
3.769538159368831e-8 	 0.22497673856831982 	 0.22497673856831982 	 3.7061448090507826e21
3.822004073337817e-8 	 0.22798196724967557 	 0.22798196724967557 	 3.573284947277911e21
3.87520022852263e-8 	 0.23102733963426353 	 0.23102733963426353 	 3.4451879169052597e21
3.9291367887075793e-8 	 0.23411339195978143 	 0.23411339195978143 	 3.321682977404845e21
3.9838240591405246e-8 	 0.23724066762696489 	 0.23724066762696489 	 3.202605509046468e21
4.039272488501813e-8 	 0.24040971729527102 	 0.24040971729527102 	 3.087796793476089e21
4.095492670900633e-8 	 0.24362109897984002 	 0.24362109897984002 	 2.977103802160129e21
4.15249534789915e-8 	 0.246875378149752 	 0.246875378149752 	 2.8703789924137477e21
4.210291410564813e-8 	 0.25017312782759643 	 0.25017312782759643 	 2.7674801107412006e21
